,churn_probability,pred_churn,CustomerID,Contract,PaymentMethod,MonthlyCharges,TotalCharges,tenure,SeniorCitizen
1644,0.8101809050931481,1,1496-GGSUK,Month-to-month,Mailed check,25.7,25.7,1,1
1745,0.8092497996511825,1,0023-XUOPT,Month-to-month,Electronic check,94.1,1215.6,13,0
2028,0.8090701691542063,1,4195-NZGTA,Month-to-month,Electronic check,25.25,25.25,1,0
1130,0.8089881761127264,1,6899-PPEEA,Month-to-month,Electronic check,96.55,3580.3,37,1
3465,0.8088151847214572,1,3995-WFCSM,Month-to-month,Electronic check,60.85,111.4,2,0
370,0.8087296731433575,1,5419-CONWX,Month-to-month,Credit card (automatic),99.8,442.85,4,1
1853,0.80829616528473,1,3585-ISXZP,Month-to-month,Bank transfer (automatic),95.65,778.1,8,0
6609,0.8080074711045386,1,2809-ZMYOQ,Month-to-month,Electronic check,101.35,3334.9,32,0
1521,0.8075490445307247,1,2398-YPMUR,Month-to-month,Electronic check,70.15,916.75,13,1
367,0.8072392452014926,1,8621-MNIHH,Month-to-month,Electronic check,94.25,3217.55,34,1
640,0.8067560921378005,1,8481-YYXWG,Month-to-month,Electronic check,89.35,461.7,5,0
698,0.8058829923465943,1,2608-BHKFN,Month-to-month,Credit card (automatic),70.05,266.9,4,0
6096,0.8053490597046321,1,4686-UXDML,Month-to-month,Credit card (automatic),99.85,1992.55,21,0
313,0.8053324980913699,1,9824-BEMCV,Month-to-month,Electronic check,69.0,1149.65,17,0
605,0.8050438562206393,1,7470-MCQTK,Month-to-month,Bank transfer (automatic),48.75,633.4,13,0
3502,0.8045789901222284,1,1302-UHBDD,Month-to-month,Electronic check,89.95,1648.45,20,1
6038,0.8037440131471526,1,0147-ESWWR,Month-to-month,Electronic check,101.25,3949.15,39,1
795,0.8035281345513514,1,3677-IYRBF,Month-to-month,Electronic check,30.4,78.65,2,1
702,0.8033491815448724,1,4283-FUTGF,Month-to-month,Electronic check,79.85,1471.75,19,1
2691,0.8033406456243728,1,3312-UUMZW,Month-to-month,Credit card (automatic),98.85,3145.9,32,0
5948,0.80258738939758,1,9279-CJEOJ,Month-to-month,Bank transfer (automatic),95.4,2025.1,21,1
149,0.8024736223186041,1,6543-CPZMK,Month-to-month,Electronic check,29.95,248.95,9,0
6688,0.8018663171187874,1,8709-KRDVL,Month-to-month,Electronic check,100.0,3320.6,33,0
4562,0.8016661702044771,1,1016-DJTSV,Month-to-month,Electronic check,69.7,572.85,8,1
162,0.8006197144561623,1,9576-ANLXO,Month-to-month,Bank transfer (automatic),69.55,222.3,3,0
3989,0.8005207356985912,1,7517-LDMPS,Month-to-month,Electronic check,84.6,1017.35,12,0
4723,0.8003734320716128,1,7392-YYPYJ,Month-to-month,Electronic check,100.65,2415.95,22,0
1204,0.8000963910107017,1,4658-HCOHW,Month-to-month,Electronic check,102.8,2110.15,21,0
1808,0.7987755764137645,1,2025-JKFWI,Month-to-month,Mailed check,99.0,1301.7,13,0
2381,0.7981186268919351,1,1536-HBSWP,Month-to-month,Electronic check,49.9,49.9,1,0
112,0.7980107254511624,1,0256-LTHVJ,Month-to-month,Electronic check,81.05,2227.1,28,0
2224,0.797484515258215,1,1304-BCCFO,Month-to-month,Mailed check,70.05,564.4,9,0
5463,0.7968309631389203,1,0899-LIIBW,Month-to-month,Electronic check,100.85,3527.3,34,0
1096,0.7965418000839362,1,5482-PLVPE,Month-to-month,Electronic check,24.35,41.85,2,1
1409,0.7964561667797506,1,9637-EIHEQ,Month-to-month,Electronic check,50.8,50.8,1,0
380,0.795714784753055,1,0506-LVNGN,Month-to-month,Credit card (automatic),75.55,349.65,5,1
999,0.7956188301565985,1,6712-OAWRH,Month-to-month,Electronic check,91.25,2351.8,26,1
1411,0.7953963843556645,1,9465-RWMXL,Month-to-month,Electronic check,78.9,2447.95,32,0
2300,0.7950082559447503,1,6030-REHUX,Month-to-month,Electronic check,110.85,3204.4,28,1
6139,0.7946586946345022,1,8695-ARGXZ,Month-to-month,Electronic check,75.55,2425.4,34,1
693,0.7945706458337557,1,9565-DJPIB,Month-to-month,Mailed check,89.6,365.65,4,0
691,0.7943258737588489,1,4873-ILOLJ,Month-to-month,Electronic check,90.35,2238.5,24,0
320,0.7940226903988802,1,6581-NQCBA,Month-to-month,Electronic check,49.95,810.2,16,0
194,0.7938499016045195,1,4678-DVQEO,Month-to-month,Electronic check,52.2,52.2,1,0
4760,0.7930357599502542,1,4647-MUZON,Month-to-month,Credit card (automatic),95.95,1745.5,18,0
75,0.7928555814704926,1,7534-BFESC,Month-to-month,Electronic check,76.1,1712.7,24,1
1405,0.7928223614668743,1,9050-QLROH,Month-to-month,Credit card (automatic),90.7,1597.25,18,0
1845,0.7926389668398388,1,8739-WWKDU,Month-to-month,Electronic check,89.5,2196.15,25,1
2432,0.7916483988530484,1,3966-HRMZA,Month-to-month,Mailed check,75.05,202.9,3,1
6327,0.7916331200925454,1,4884-ZTHVF,Month-to-month,Electronic check,87.1,713.6,8,1
3440,0.7913631364355588,1,8160-HOWOX,Month-to-month,Electronic check,66.85,458.1,7,0
4459,0.7906628396444848,1,1335-NTIUC,Month-to-month,Electronic check,24.95,190.25,9,0
6145,0.7902017071452714,1,8132-YPVBX,Month-to-month,Mailed check,85.95,514.6,6,0
5431,0.7901307657712494,1,0921-OHLVP,Month-to-month,Electronic check,83.05,1799.3,22,0
280,0.7900386432050541,1,6166-ILMNY,Month-to-month,Bank transfer (automatic),69.75,144.55,2,0
1575,0.7900355120186995,1,6877-LGWXO,Month-to-month,Electronic check,78.55,1422.65,18,1
2342,0.7899151168307293,1,3003-CMDUU,Month-to-month,Electronic check,95.15,2395.7,25,0
277,0.7898111125210894,1,0376-YMCJC,Month-to-month,Electronic check,90.6,1943.2,23,0
4772,0.7897434562550542,1,8720-RQSBJ,Month-to-month,Electronic check,44.0,44.0,1,1
893,0.7896839147278868,1,7056-IMHCC,Month-to-month,Electronic check,101.9,5549.4,53,1
6561,0.7895607806062475,1,2378-VTKDH,Month-to-month,Electronic check,104.35,6578.55,65,1
1384,0.7888613240057563,1,3235-ETOOB,Month-to-month,Electronic check,74.5,609.9,8,0
1599,0.7887680856238557,1,6338-AVWCY,Month-to-month,Mailed check,40.15,130.75,3,0
1271,0.7882773096833359,1,8714-EUHJO,Month-to-month,Electronic check,91.15,2995.45,31,0
3866,0.7876674746348608,1,1942-OQFRW,Month-to-month,Electronic check,44.0,44.0,1,0
477,0.7876482709761674,1,8080-DDEMJ,Month-to-month,Electronic check,45.1,45.1,1,1
3556,0.7874570454225195,1,4706-DGAHW,Month-to-month,Electronic check,45.2,45.2,1,1
587,0.7874340390907804,1,2528-HFYZX,Month-to-month,Electronic check,76.45,1233.4,17,1
875,0.7873625707301544,1,7663-RGWBC,Month-to-month,Mailed check,44.15,44.15,1,0
4605,0.7872133168332783,1,2103-ZRXFN,Month-to-month,Mailed check,50.75,50.75,1,0
1829,0.7864491047820275,1,3926-CUQZX,Month-to-month,Bank transfer (automatic),45.1,45.1,1,0
3339,0.7848681105067193,1,3365-SAIGS,Month-to-month,Electronic check,83.55,1329.15,17,0
6384,0.7847729879045101,1,9638-JIQYA,Month-to-month,Credit card (automatic),24.9,49.7,2,0
1279,0.7847028925663051,1,8993-PHFWD,Month-to-month,Electronic check,25.25,58.9,3,0
4697,0.7844986320882058,1,1194-HVAIF,Month-to-month,Credit card (automatic),95.0,2462.55,27,0
242,0.7843815409457322,1,9117-SHLZX,Month-to-month,Mailed check,45.7,45.7,1,0
4131,0.7841881796791311,1,5133-POWUA,Month-to-month,Mailed check,45.8,45.8,1,0
406,0.7840914519269356,1,4237-RLAQD,Month-to-month,Mailed check,45.85,45.85,1,0
1311,0.7834804137907533,1,7912-SYRQT,Month-to-month,Bank transfer (automatic),75.1,552.95,7,0
302,0.7833038169745362,1,0135-NMXAP,Month-to-month,Bank transfer (automatic),89.75,1052.4,12,0
5085,0.782961647398956,1,9133-AYJZG,Month-to-month,Credit card (automatic),98.7,2249.1,23,0
778,0.7824872181231722,1,2309-OSFEU,Month-to-month,Mailed check,33.9,298.45,10,0
915,0.781742148689066,1,7587-RZNME,Month-to-month,Electronic check,43.3,123.65,3,0
4780,0.7816405233857412,1,6704-UTUKK,Month-to-month,Electronic check,45.9,1332.4,29,0
1164,0.7815432438099846,1,8280-MQRQN,Month-to-month,Mailed check,50.45,50.45,1,0
1194,0.7814905915300155,1,9058-CBREO,Month-to-month,Mailed check,50.55,50.55,1,1
420,0.7801723239994136,1,6032-KRXXO,Month-to-month,Electronic check,90.25,2755.35,30,0
7027,0.7800390488395442,1,1035-IPQPU,Month-to-month,Electronic check,103.5,6479.4,63,1
371,0.7798590605164151,1,6240-EURKS,Month-to-month,Electronic check,35.0,553.0,18,0
6189,0.7794108772260344,1,9214-EKVXR,Month-to-month,Mailed check,44.0,44.0,1,0
799,0.7792142089030633,1,0876-WDUUZ,Month-to-month,Credit card (automatic),85.4,425.9,5,0
525,0.7791514074851842,1,3858-VOBET,Month-to-month,Electronic check,74.95,1710.45,23,0
750,0.7778189079197008,1,0310-MVLET,Month-to-month,Electronic check,99.15,6010.05,61,0
881,0.7777126176384334,1,3658-KIBGF,Month-to-month,Electronic check,54.9,54.9,1,0
1165,0.7772348215991528,1,2037-SGXHH,Month-to-month,Electronic check,94.65,3624.3,38,0
2914,0.7769679130416663,1,8785-CJSHH,Month-to-month,Electronic check,99.8,5985.75,60,0
796,0.776647562611428,1,5692-FPTAH,Month-to-month,Mailed check,45.4,45.4,1,0
4874,0.7765000301245332,1,5606-AMZBO,Month-to-month,Credit card (automatic),78.15,765.15,10,0
770,0.7750838265113792,1,7410-YTJIK,Month-to-month,Mailed check,75.45,480.75,7,0
5238,0.7745178474599868,1,6377-WHAOX,Month-to-month,Electronic check,106.15,6411.25,60,0
1546,0.7728772481962084,1,4512-ZUIYL,Month-to-month,Bank transfer (automatic),70.0,153.05,2,0
3393,0.7725401007703679,1,7901-TBKJX,Month-to-month,Electronic check,101.05,5594.0,56,1
6225,0.7724685941751556,1,9355-NPPFS,Month-to-month,Electronic check,78.8,2006.1,26,1
1616,0.7715902131430619,1,9190-MFJLN,Month-to-month,Credit card (automatic),95.9,1777.9,19,1
3956,0.7714506437922789,1,1845-ZLLIG,Month-to-month,Mailed check,50.15,50.15,1,0
5047,0.7713543627887776,1,2582-FFFZR,Month-to-month,Electronic check,50.6,1073.3,22,0
588,0.7712321173548001,1,2482-CZGBB,Month-to-month,Electronic check,70.0,740.0,10,0
830,0.7700655401898169,1,8393-DLHGA,Month-to-month,Electronic check,95.9,2448.75,25,0
1844,0.7698262852024422,1,0886-QGENL,Month-to-month,Electronic check,101.25,2754.45,27,1
1048,0.7695740791348331,1,2860-RANUS,Month-to-month,Credit card (automatic),85.8,1727.5,20,1
223,0.7695589373301018,1,9851-KIELU,Month-to-month,Electronic check,110.1,1043.3,10,0
5214,0.7690733681283105,1,1100-DDVRV,Month-to-month,Mailed check,49.8,836.35,17,0
870,0.7683445056901044,1,0337-CNPZE,Month-to-month,Electronic check,106.3,4443.45,41,0
6315,0.7672908881264151,1,2959-FENLU,Month-to-month,Credit card (automatic),85.3,781.4,9,0
2543,0.7672748471406989,1,5543-QDCRY,Month-to-month,Electronic check,56.4,234.85,4,0
1179,0.7672628235933778,1,1264-BYWMS,Month-to-month,Electronic check,96.8,5283.95,55,0
5015,0.7669757835988662,1,8818-DOPVL,Month-to-month,Electronic check,104.45,4863.85,46,1
5163,0.7663080308286689,1,0082-OQIQY,Month-to-month,Electronic check,94.2,2607.6,29,0
4304,0.766050285007559,1,2041-JIJCI,Month-to-month,Electronic check,64.0,370.25,5,0
817,0.7660478167810493,1,5307-DZCVC,Month-to-month,Credit card (automatic),85.95,2628.6,32,1
1485,0.7653956794998286,1,6821-BUXUX,Month-to-month,Electronic check,96.65,1244.5,13,0
612,0.7648595924618183,1,8949-JTMAY,Month-to-month,Credit card (automatic),98.6,2933.2,29,0
1045,0.7648206777400764,1,4652-NNHNY,Month-to-month,Bank transfer (automatic),73.85,1284.2,16,0
4012,0.7646906143747806,1,1658-TJVOA,Month-to-month,Electronic check,74.1,450.9,6,1
1665,0.7646040859647512,1,2754-XBHTB,Month-to-month,Bank transfer (automatic),77.65,714.15,9,0
5379,0.7637866373264022,1,8849-AYPTR,Month-to-month,Electronic check,91.25,2964.05,33,0
186,0.7636042042396202,1,1894-IGFSG,Month-to-month,Electronic check,89.25,1907.85,22,0
7022,0.76320572931339,1,1471-GIQKQ,Month-to-month,Electronic check,49.95,49.95,1,0
6460,0.7627810810389366,1,5331-RGMTT,Month-to-month,Credit card (automatic),99.05,5295.7,54,1
4132,0.762214547925966,1,5652-MSDEY,Month-to-month,Mailed check,75.75,777.3,10,0
3024,0.7622050703821177,1,1436-ZMJAN,Month-to-month,Credit card (automatic),67.8,653.15,10,0
5588,0.7612418622572406,1,9927-DSWDF,Month-to-month,Electronic check,104.6,2180.55,22,0
1310,0.7608066008960142,1,9692-TUSXH,Month-to-month,Electronic check,96.05,1740.7,18,0
1262,0.7606501767278536,1,9732-KPKBW,Month-to-month,Electronic check,53.95,53.95,1,0
4669,0.7605417314776926,1,9773-PEQBZ,Month-to-month,Electronic check,79.85,797.25,10,0
1915,0.760406144399082,1,5122-CYFXA,Month-to-month,Electronic check,75.3,244.1,3,0
5364,0.7602019722921408,1,1319-YLZJG,Month-to-month,Electronic check,84.6,959.9,12,0
6771,0.759208548340729,1,3588-WSTTJ,Month-to-month,Electronic check,99.05,3554.6,35,1
4666,0.7585813527067397,1,2800-QQUSO,Month-to-month,Electronic check,100.3,4222.95,42,0
656,0.7585729890317275,1,5373-SFODM,Month-to-month,Credit card (automatic),85.25,3132.75,36,1
4783,0.7584520408427795,1,7404-JLKQG,Month-to-month,Electronic check,57.55,161.45,3,0
662,0.7579901202949265,1,0952-KMEEH,Month-to-month,Mailed check,98.15,1230.25,13,0
3549,0.7576856490501483,1,2754-SDJRD,Month-to-month,Credit card (automatic),100.15,908.55,8,1
3975,0.7571909863734291,1,2277-DJJDL,Month-to-month,Electronic check,99.0,6017.9,60,1
1817,0.7571906734629363,1,5480-HPRRX,Month-to-month,Electronic check,25.3,77.75,3,1
2066,0.7568766345057667,1,7529-ZDFXI,Month-to-month,Electronic check,89.85,4925.35,57,1
2579,0.7567750464104561,1,8584-KMVXD,Month-to-month,Electronic check,75.6,535.55,8,0
2149,0.7562194293049295,1,6158-HDPXZ,Month-to-month,Mailed check,25.35,25.35,1,0
1988,0.7559398080200437,1,9167-APMXZ,Month-to-month,Bank transfer (automatic),84.15,1821.95,22,0
555,0.7550370911835605,1,2955-BJZHG,Month-to-month,Electronic check,80.85,1400.85,17,0
279,0.7549468018271073,1,5536-RTPWK,Month-to-month,Bank transfer (automatic),99.05,4853.75,49,0
1843,0.754393533635197,1,8155-IBNHG,Month-to-month,Credit card (automatic),75.4,1747.85,24,0
4312,0.7538715927075826,1,5144-TVGLP,Month-to-month,Electronic check,94.75,3653.0,38,1
4741,0.7532520765779499,1,9278-VZKCD,Month-to-month,Electronic check,109.1,5647.95,52,1
2639,0.7528243458689919,1,4581-LNWUM,Month-to-month,Electronic check,49.15,649.4,13,0
939,0.7521221712687743,1,9540-JYROE,Month-to-month,Mailed check,70.1,551.35,8,0
5883,0.7517058742621702,1,1833-TCXKK,Month-to-month,Bank transfer (automatic),107.75,4882.8,45,0
4297,0.750973315810549,1,7586-ZATGZ,Month-to-month,Electronic check,84.9,3369.05,40,0
6169,0.7502387674240971,1,2971-SGAFL,Month-to-month,Electronic check,78.75,995.35,13,0
1256,0.7501765181454645,1,1112-CUNAO,Month-to-month,Electronic check,89.85,1424.95,15,1
834,0.7501422190355934,1,9907-SWKKF,Month-to-month,Mailed check,25.05,25.05,1,1
409,0.7500885527099292,1,0637-YLETY,Month-to-month,Credit card (automatic),95.6,1555.65,16,0
5400,0.7500656761797909,1,6175-IRFIT,Month-to-month,Mailed check,78.75,426.35,5,0
1029,0.7499484184963403,1,8938-UMKPI,Month-to-month,Electronic check,106.4,5127.95,47,0
1127,0.749799378121213,1,2091-RFFBA,Month-to-month,Electronic check,73.9,2217.15,31,1
1773,0.7483276411373646,1,3768-NLUBH,Month-to-month,Electronic check,100.6,5746.15,57,1
1454,0.7482337677430676,1,0778-NELLA,Month-to-month,Credit card (automatic),34.7,296.1,9,0
6537,0.7482130478343414,1,6048-QBXKL,Month-to-month,Credit card (automatic),56.55,118.25,2,1
851,0.7478882443927117,1,9722-UJOJR,Month-to-month,Electronic check,70.75,1974.8,29,0
1237,0.7475606004001957,1,1541-ETJZO,Month-to-month,Mailed check,62.05,62.05,1,0
5201,0.7475189786393924,1,9274-UARKJ,Month-to-month,Bank transfer (automatic),83.2,1130.0,15,0
4195,0.7474869499096961,1,0581-BXBUB,Month-to-month,Electronic check,72.75,317.75,4,1
4142,0.7468981229145111,1,1777-JYQPJ,Month-to-month,Mailed check,24.3,38.45,2,0
395,0.7468367640301818,1,0529-ONKER,Month-to-month,Electronic check,75.65,1146.65,15,1
2408,0.745906733136201,1,9944-AEXBM,Month-to-month,Bank transfer (automatic),85.65,2664.3,32,0
3929,0.7457348261928326,1,0581-MDMPW,Month-to-month,Credit card (automatic),88.95,2072.75,24,0
6012,0.7448891977573233,1,6542-LWGXJ,Month-to-month,Mailed check,25.0,78.25,3,0
977,0.7436962811433259,1,1965-DDBWU,Month-to-month,Credit card (automatic),89.05,1448.6,16,0
5101,0.7436570743954685,1,8212-CRQXP,Month-to-month,Credit card (automatic),80.0,1706.45,22,0
972,0.7431201446221001,1,4818-QIUFN,Month-to-month,Electronic check,79.15,1520.9,20,1
6925,0.7427859230863271,1,0682-USIXD,Month-to-month,Electronic check,86.05,1818.9,21,0
2273,0.7424809654267388,1,2782-LFZVW,Month-to-month,Mailed check,58.95,601.6,11,0
5060,0.7414317929309064,1,0958-YHXGP,Month-to-month,Mailed check,69.9,497.3,7,0
3377,0.7413378383719694,1,2038-LLMLM,Month-to-month,Electronic check,103.85,4946.05,48,0
1086,0.7403202869660851,1,6834-NXDCA,Month-to-month,Electronic check,23.9,300.8,13,0
857,0.7391300277458956,1,5828-AVIPD,One year,Electronic check,100.95,1875.55,19,0
59,0.738501071724947,1,0322-YINQP,Month-to-month,Mailed check,48.55,48.55,1,0
527,0.7380170939551942,1,8565-CLBZW,Month-to-month,Mailed check,89.85,2165.05,24,0
4550,0.7379201276049132,1,2203-GHNWN,Month-to-month,Mailed check,79.65,1928.7,24,0
4451,0.7379171244968051,1,5968-VXZLG,Month-to-month,Bank transfer (automatic),46.6,87.9,2,0
5110,0.7364633136983522,1,1482-OXZSY,Month-to-month,Bank transfer (automatic),100.4,2936.25,30,0
494,0.7358093217869175,1,4547-LYTDD,Month-to-month,Electronic check,72.65,1194.3,16,0
5081,0.7357335400885678,1,0096-BXERS,Month-to-month,Electronic check,50.35,314.55,6,0
1062,0.7351006682350125,1,5590-YRFJT,Month-to-month,Electronic check,24.45,482.8,20,0
422,0.7342696396920648,1,4154-AQUGT,Month-to-month,Bank transfer (automatic),89.05,1169.35,13,1
5912,0.7336162578360169,1,7794-JASDG,Month-to-month,Mailed check,50.75,50.75,1,0
44,0.7334731742059892,1,6317-YPKDH,Month-to-month,Bank transfer (automatic),29.95,29.95,1,0
3997,0.7330058307659842,1,2187-PKZAY,Month-to-month,Bank transfer (automatic),79.95,1043.4,12,0
907,0.7329730695591752,1,7599-FKVXZ,Month-to-month,Bank transfer (automatic),106.15,4512.7,42,0
6343,0.7325236276815174,1,8757-TFHHJ,Month-to-month,Credit card (automatic),49.8,49.8,1,0
5284,0.7320740751770217,1,4480-QQRHC,Month-to-month,Bank transfer (automatic),74.05,600.15,8,1
1131,0.7317523674519891,1,2187-LZGPL,Month-to-month,Credit card (automatic),40.1,293.3,7,0
5341,0.7316726138176596,1,5760-FXFVO,Month-to-month,Electronic check,78.95,494.95,6,0
193,0.7314907760912268,1,0322-CHQRU,Month-to-month,Electronic check,45.35,89.5,2,0
397,0.7314412050025125,1,1092-GANHU,Month-to-month,Electronic check,76.65,1313.55,17,0
290,0.7314121200365168,1,9763-PDTKK,Month-to-month,Bank transfer (automatic),94.4,387.2,4,0
3991,0.7306876557239417,1,5226-NOZFC,Month-to-month,Electronic check,85.75,2146.5,26,0
205,0.7304855975674497,1,2311-QYMUQ,Month-to-month,Credit card (automatic),89.45,1430.25,16,0
826,0.7294310320174096,1,2919-HBCJO,Month-to-month,Bank transfer (automatic),76.65,333.6,4,0
2741,0.729162589996472,1,5461-QKNTN,Month-to-month,Electronic check,94.3,3953.15,43,1
6060,0.7289106911099995,1,3312-ZWLGF,Month-to-month,Electronic check,79.3,2414.55,29,1
71,0.7283126352555778,1,9512-UIBFX,Month-to-month,Mailed check,95.15,1779.95,18,0
2629,0.7275527910272852,1,7460-ITWWP,Month-to-month,Electronic check,86.1,3861.45,45,1
1666,0.7274407801153782,1,1597-LHYNC,Month-to-month,Electronic check,95.0,2497.2,26,1
4757,0.7274332509599348,1,6173-GOLSU,Month-to-month,Credit card (automatic),94.65,6079.0,67,1
2797,0.7255940233156838,1,9992-UJOEL,Month-to-month,Mailed check,50.3,92.75,2,0
4863,0.725405482472766,1,0374-AACSZ,Month-to-month,Electronic check,50.15,50.15,1,0
268,0.7249242518013096,1,1236-WFCDV,Month-to-month,Credit card (automatic),90.45,1266.1,14,1
1027,0.7248923293591125,1,5759-RCVCB,Month-to-month,Credit card (automatic),35.2,108.95,3,0
1732,0.7245955351185411,1,6661-HBGWL,Month-to-month,Bank transfer (automatic),104.75,4323.45,42,1
2286,0.7244740307612845,1,2501-XWWTZ,Month-to-month,Electronic check,70.2,760.05,11,0
3429,0.7244071260988592,1,8819-IMISP,Month-to-month,Electronic check,80.45,2429.1,31,0
2343,0.7238213065404058,1,5016-IBERQ,Month-to-month,Electronic check,84.25,1968.1,23,0
1433,0.7235103256030595,1,8718-PTMEZ,Month-to-month,Electronic check,31.05,347.25,13,0
925,0.7226426226055265,1,8914-RBTSB,Month-to-month,Electronic check,93.8,3019.5,31,0
1360,0.7225441066482566,1,1902-XBTFB,Month-to-month,Electronic check,89.4,2001.5,22,0
918,0.7219130305359639,1,5889-JTMUL,Month-to-month,Electronic check,95.05,4888.7,50,1
2189,0.7216647182395612,1,4360-PNRQB,Month-to-month,Bank transfer (automatic),75.6,1395.05,18,0
5935,0.7205763516415922,1,2043-WVTQJ,Month-to-month,Mailed check,55.7,55.7,1,0
4707,0.7196307629419576,1,6710-HSJRD,Month-to-month,Electronic check,114.1,7132.15,61,0
3631,0.7194376517639657,1,2573-GYRUU,Month-to-month,Credit card (automatic),91.05,4370.75,48,1
4581,0.7188410940877884,1,2587-EKXTS,Month-to-month,Electronic check,111.5,4915.15,44,0
1475,0.718384078840924,1,6284-AHOOQ,Month-to-month,Bank transfer (automatic),90.5,1910.6,22,1
2316,0.7177410461636793,1,9244-ZVAPM,Month-to-month,Mailed check,45.6,45.6,1,0
4685,0.7169417756257327,1,6402-EJMWF,Month-to-month,Mailed check,55.3,238.5,4,0
3924,0.7167064651191543,1,4760-THGOT,Month-to-month,Electronic check,94.1,4107.3,43,0
1480,0.7165647563757944,1,4818-DRBQT,Month-to-month,Bank transfer (automatic),80.15,2265.25,29,0
4251,0.7148148388317079,1,3082-VQXNH,Month-to-month,Credit card (automatic),29.8,94.4,3,0
3369,0.7147129346650938,1,6557-BZXLQ,Month-to-month,Electronic check,69.65,1043.3,16,1
725,0.7143411958010711,1,7503-QQRVF,Month-to-month,Credit card (automatic),74.3,1178.25,16,1
2394,0.7132377285213409,1,9450-TRJUU,Month-to-month,Electronic check,83.15,2848.45,35,0
4637,0.7128063221465122,1,1816-FLZDK,Month-to-month,Mailed check,29.15,29.15,1,0
3800,0.7125070118679574,1,6481-ESCNL,Month-to-month,Bank transfer (automatic),100.55,2878.75,29,0
980,0.7122285320836819,1,8601-QACRS,Month-to-month,Mailed check,50.6,249.95,5,0
1286,0.7120809325161601,1,5281-BUZGT,Month-to-month,Electronic check,90.85,3186.7,36,1
1678,0.7113365501814575,1,1842-EZJMK,Month-to-month,Electronic check,103.7,5071.05,50,0
621,0.7111085859591119,1,3757-NJYBX,Month-to-month,Bank transfer (automatic),106.35,3520.75,32,1
2931,0.7098557380424992,1,7055-HNEOJ,Month-to-month,Mailed check,55.8,154.55,3,0
568,0.7098207931936354,1,3023-GFLBR,Month-to-month,Credit card (automatic),86.15,2745.7,33,0
5153,0.7098015774199644,1,2672-OJQZP,Month-to-month,Mailed check,44.75,44.75,1,0
4920,0.7097998496797604,1,7278-CKDNC,Month-to-month,Electronic check,80.5,2088.45,24,1
1424,0.7091370915863164,1,6331-LWDTQ,Month-to-month,Credit card (automatic),72.15,794.25,10,0
2005,0.7085050507700702,1,6582-OIVSP,Month-to-month,Mailed check,45.3,45.3,1,0
460,0.7083376366831962,1,7279-BUYWN,Month-to-month,Electronic check,113.2,4689.5,41,1
3466,0.7082959738309341,1,1895-QTKDO,Month-to-month,Credit card (automatic),43.95,43.95,1,0
4130,0.7078784605010857,1,7855-DIWPO,Month-to-month,Electronic check,68.65,1493.2,21,0
1601,0.7075528190050174,1,9445-SZLCH,Month-to-month,Bank transfer (automatic),97.35,3457.9,36,0
601,0.7074026492761536,1,1587-FKLZB,Month-to-month,Credit card (automatic),99.5,6822.15,66,1
428,0.7069747207230485,1,4248-QPAVC,Month-to-month,Bank transfer (automatic),85.35,1463.45,17,1
489,0.706968405505435,1,7054-LGEQW,Month-to-month,Mailed check,45.95,45.95,1,0
6551,0.7069389223117761,1,8778-LMWTJ,Month-to-month,Electronic check,74.85,708.2,9,0
926,0.7068421338886075,1,0963-ZBDRN,Month-to-month,Electronic check,96.2,3183.4,32,0
1857,0.7066677593051233,1,6304-IJFSQ,Month-to-month,Mailed check,49.9,130.1,3,0
4504,0.7057300041133192,1,2227-JRSJX,Month-to-month,Bank transfer (automatic),99.15,1956.4,21,0
3159,0.7056124317248221,1,1320-REHCS,Month-to-month,Electronic check,110.75,5832.0,52,1
335,0.7055633922517157,1,7993-PYKOF,Month-to-month,Electronic check,75.0,632.95,8,0
5029,0.7050206165331518,1,8189-XRIKE,Month-to-month,Electronic check,90.95,2897.95,32,1
443,0.7044886294829101,1,6311-UEUME,Month-to-month,Electronic check,78.9,2384.15,29,0
4244,0.7044193457293436,1,3481-JHUZH,Month-to-month,Electronic check,80.25,3439.0,41,0
2732,0.7040533731140539,1,7129-ACFOG,Month-to-month,Electronic check,53.8,283.95,5,0
1607,0.7025923612360626,1,4523-WXCEF,Month-to-month,Electronic check,101.1,6039.9,59,0
102,0.70257730078878,1,0979-PHULV,Month-to-month,Credit card (automatic),99.45,7007.6,69,0
2111,0.7021295128646119,1,4983-CLMLV,Month-to-month,Credit card (automatic),102.7,5138.1,52,0
5546,0.7002188499316502,1,2694-CIUMO,Month-to-month,Credit card (automatic),79.55,958.25,12,0
5842,0.6989385437893285,1,8676-OOQEJ,Month-to-month,Electronic check,30.5,118.4,4,0
1362,0.698787290800282,1,9381-NDKME,Month-to-month,Credit card (automatic),40.65,933.3,24,1
6964,0.6986075075588389,1,0463-ZSDNT,Month-to-month,Bank transfer (automatic),56.75,503.25,10,0
3869,0.6984866750220986,1,6128-AQBMT,Month-to-month,Electronic check,53.95,2215.4,41,1
467,0.6977220256069462,1,3096-IZETN,Month-to-month,Bank transfer (automatic),78.1,947.3,12,0
4643,0.6974817153413487,1,0430-IHCDJ,Month-to-month,Electronic check,49.0,749.25,15,0
275,0.6972519536967461,1,1624-WOIWJ,Month-to-month,Mailed check,84.7,832.05,10,0
4501,0.6969514545636765,1,6741-EGCBI,Month-to-month,Credit card (automatic),90.5,2595.85,30,1
